Date,Open,High,Low,Close,Volume,es_open,es_high,es_low,es_close,DoW,month,day
2022-01-18,4666.0,4671.75,4560.0,4571.25,2268240,21.18000030517578,23.200000762939453,21.18000030517578,22.790000915527344,2,1,18
2022-01-19,4577.75,4603.0,4517.25,4524.25,2001348,23.1200008392334,23.989999771118164,21.850000381469727,23.850000381469727,3,1,19
2022-01-20,4526.0,4594.25,4437.75,4474.75,2040704,23.459999084472656,25.889999389648438,21.68000030517578,25.59000015258789,4,1,20
2022-01-21,4454.25,4487.0,4381.25,4390.0,3012106,25.3799991607666,29.790000915527344,25.309999465942383,28.850000381469727,5,1,21
2022-01-24,4389.0,4427.5,4212.75,4403.75,3846785,28.200000762939453,38.939998626708984,28.020000457763672,29.899999618530273,1,1,24
2022-01-25,4402.75,4406.75,4276.5,4349.0,2483392,32.290000915527344,35.849998474121094,29.1299991607666,31.15999984741211,2,1,25
2022-01-26,4308.75,4446.25,4294.25,4341.5,2423103,29.350000381469727,33.040000915527344,26.899999618530273,31.959999084472656,3,1,26
2022-01-27,4345.25,4422.0,4263.25,4317.75,2295458,32.189998626708984,33.0,28.420000076293945,30.489999771118164,4,1,27
2022-01-28,4348.0,4426.0,4266.25,4423.25,2251268,30.270000457763672,32.81999969482422,27.280000686645508,27.65999984741211,5,1,28
2022-01-31,4423.5,4507.75,4395.5,4504.25,1846145,28.360000610351562,29.40999984741211,24.709999084472656,24.829999923706055,1,1,31
2022-02-01,4493.25,4554.75,4474.0,4535.0,1618163,24.56999969482422,25.329999923706055,21.959999084472656,21.959999084472656,2,2,1
2022-02-02,4552.0,4586.0,4535.25,4577.25,1624220,21.559999465942383,22.729999542236328,20.459999084472656,22.09000015258789,3,2,2
2022-02-03,4545.75,4548.25,4462.0,4469.0,1800714,22.6299991607666,25.809999465942383,22.299999237060547,24.350000381469727,4,2,3
2022-02-04,4518.0,4532.5,4438.5,4492.5,1957881,23.770000457763672,26.260000228881836,22.06999969482422,23.219999313354492,5,2,4
2022-02-07,4497.0,4514.5,4462.75,4475.75,1495143,24.09000015258789,24.81999969482422,22.020000457763672,22.860000610351562,1,2,7
2022-02-08,4484.0,4523.75,4456.25,4512.5,1459766,23.09000015258789,23.479999542236328,21.31999969482422,21.440000534057617,2,2,8
2022-02-09,4519.0,4585.0,4517.25,4577.75,1383317,21.270000457763672,21.299999237060547,19.93000030517578,19.959999084472656,3,2,9
2022-02-10,4582.25,4583.75,4476.0,4497.5,2403026,20.3700008392334,24.770000457763672,20.18000030517578,23.90999984741211,4,2,10
2022-02-11,4494.5,4520.5,4393.25,4409.5,2479025,24.389999389648438,30.989999771118164,23.329999923706055,27.360000610351562,5,2,11
2022-02-14,4411.75,4428.0,4354.0,4394.0,2098618,29.170000076293945,32.040000915527344,28.329999923706055,28.329999923706055,1,2,14
